health,age,sex,educ,sexornt,partyid,race,married,income
excellent,53,male,16,heterosexual or straight,rep,white,1,18750.0
excellent,26,female,16,heterosexual or straight,rep,white,1,18750.0
good,59,male,13,heterosexual or straight,rep,white,1,
excellent,74,female,17,heterosexual or straight,other,white,1,
poor,37,female,10,heterosexual or straight,other,white,0,
excellent,30,female,15,heterosexual or straight,other,other,1,18750.0
fair,43,female,5,heterosexual or straight,other,other,1,
poor,56,male,11,heterosexual or straight,other,white,0,
good,69,male,8,heterosexual or straight,other,white,1,
excellent,30,female,14,heterosexual or straight,other,black,1,16250.0
good,42,female,11,heterosexual or straight,dem,white,1,
excellent,38,male,14,heterosexual or straight,dem,other,0,
good,38,female,15,heterosexual or straight,dem,white,0,18750.0
excellent,28,female,18,heterosexual or straight,dem,black,0,
good,35,male,13,heterosexual or straight,other,white,1,16250.0
good,50,male,15,heterosexual or straight,dem,white,1,18750.0
excellent,54,male,16,heterosexual or straight,dem,white,1,18750.0
good,61,female,16,heterosexual or straight,dem,white,1,18750.0
good,54,female,16,heterosexual or straight,rep,white,0,
good,37,female,12,dont know,other,black,1,16250.0
good,38,female,11,heterosexual or straight,other,other,0,9000.0
fair,69,female,10,heterosexual or straight,rep,white,1,
good,35,male,16,heterosexual or straight,dem,white,1,18750.0
good,61,female,17,heterosexual or straight,rep,white,1,
poor,59,male,11,heterosexual or straight,other,white,0,
excellent,50,female,16,heterosexual or straight,rep,white,1,18750.0
good,43,female,12,heterosexual or straight,dem,black,0,18750.0
excellent,30,male,15,heterosexual or straight,rep,white,0,18750.0
excellent,59,male,11,heterosexual or straight,dem,white,1,18750.0
good,32,female,15,heterosexual or straight,dem,white,1,18750.0
excellent,32,male,14,bisexual,dem,other,1,18750.0
fair,42,male,16,heterosexual or straight,dem,white,1,18750.0
good,29,male,14,heterosexual or straight,dem,other,1,18750.0
good,51,male,18,heterosexual or straight,rep,other,1,18750.0
excellent,24,female,17,heterosexual or straight,dem,black,0,2000.0
fair,63,female,15,bisexual,rep,white,1,
good,44,female,18,heterosexual or straight,dem,white,0,18750.0
excellent,43,female,16,heterosexual or straight,dem,other,1,
good,51,male,16,homosexual or gay,dem,white,0,16250.0
good,47,female,20,heterosexual or straight,dem,other,1,18750.0
excellent,47,female,16,heterosexual or straight,dem,other,0,18750.0
good,34,male,20,heterosexual or straight,other,other,1,18750.0
excellent,69,male,16,heterosexual or straight,dem,white,1,18750.0
excellent,65,female,16,heterosexual or straight,rep,white,1,18750.0
good,24,male,16,heterosexual or straight,rep,white,0,
fair,32,male,12,heterosexual or straight,rep,white,0,16250.0
good,66,female,20,heterosexual or straight,dem,white,1,18750.0
fair,39,female,20,heterosexual or straight,dem,white,1,18750.0
good,41,female,18,heterosexual or straight,other,other,1,
excellent,54,male,16,heterosexual or straight,dem,white,1,18750.0
good,58,female,16,heterosexual or straight,dem,white,1,18750.0
poor,43,male,12,heterosexual or straight,other,other,1,
poor,55,female,6,heterosexual or straight,dem,other,0,
good,40,female,10,heterosexual or straight,dem,other,0,
poor,35,female,11,heterosexual or straight,dem,black,1,
poor,43,male,10,heterosexual or straight,other,other,1,
good,36,female,10,heterosexual or straight,dem,black,0,
excellent,41,male,16,heterosexual or straight,dem,black,1,18750.0
good,25,male,12,heterosexual or straight,dem,white,0,18750.0
good,48,female,14,heterosexual or straight,other,black,0,18750.0
excellent,27,female,16,heterosexual or straight,dem,black,1,18750.0
good,26,female,14,heterosexual or straight,dem,black,0,18750.0
good,28,female,13,heterosexual or straight,dem,other,1,
good,37,female,12,heterosexual or straight,dem,black,0,13750.0
excellent,23,male,16,heterosexual or straight,other,black,0,
fair,28,male,12,heterosexual or straight,dem,other,0,16250.0
good,60,female,16,heterosexual or straight,dem,white,1,
excellent,30,male,16,heterosexual or straight,dem,other,0,18750.0
excellent,58,female,16,homosexual or gay,dem,white,0,18750.0
excellent,41,male,16,heterosexual or straight,dem,white,0,
excellent,61,female,18,heterosexual or straight,dem,white,0,
excellent,56,female,16,heterosexual or straight,dem,white,0,16250.0
good,32,male,14,heterosexual or straight,dem,white,0,18750.0
fair,68,female,19,heterosexual or straight,other,white,1,
good,38,male,20,heterosexual or straight,rep,other,1,18750.0
good,77,male,17,heterosexual or straight,dem,black,1,
good,47,male,13,heterosexual or straight,dem,black,1,16250.0
excellent,54,female,14,heterosexual or straight,dem,black,1,18750.0
excellent,64,female,18,heterosexual or straight,dem,black,1,18750.0
excellent,30,female,20,heterosexual or straight,dem,white,0,18750.0
good,61,male,20,heterosexual or straight,rep,white,1,18750.0
excellent,63,male,16,heterosexual or straight,other,white,0,
good,40,male,20,heterosexual or straight,rep,white,1,18750.0
good,55,male,12,heterosexual or straight,other,white,1,18750.0
excellent,38,female,17,heterosexual or straight,dem,white,1,18750.0
excellent,45,female,18,heterosexual or straight,dem,white,1,
excellent,74,female,16,heterosexual or straight,other,white,1,11250.0
good,54,male,14,heterosexual or straight,other,white,1,18750.0
excellent,23,male,13,heterosexual or straight,other,black,0,6500.0
fair,48,male,14,heterosexual or straight,rep,white,1,18750.0
poor,46,male,12,homosexual or gay,rep,white,0,
fair,51,male,6,heterosexual or straight,dem,other,1,18750.0
good,54,male,10,heterosexual or straight,dem,other,1,18750.0
excellent,75,female,18,heterosexual or straight,dem,white,1,
excellent,63,female,13,heterosexual or straight,dem,white,1,18750.0
fair,50,female,14,heterosexual or straight,other,white,1,
fair,59,female,16,heterosexual or straight,dem,black,1,500.0
good,45,female,20,heterosexual or straight,dem,white,0,18750.0
good,55,male,14,heterosexual or straight,rep,white,1,18750.0
poor,62,female,17,heterosexual or straight,rep,white,1,
fair,77,female,12,heterosexual or straight,other,white,1,
good,46,male,16,heterosexual or straight,dem,white,0,18750.0
excellent,59,male,15,heterosexual or straight,other,white,1,
fair,20,female,12,heterosexual or straight,dem,black,0,3500.0
good,63,male,18,heterosexual or straight,dem,white,1,18750.0
fair,71,female,16,heterosexual or straight,rep,white,1,11250.0
good,26,female,12,heterosexual or straight,other,white,1,
fair,46,male,12,heterosexual or straight,dem,white,0,3500.0
fair,56,female,3,heterosexual or straight,other,white,0,
fair,45,female,14,heterosexual or straight,dem,other,1,18750.0
poor,48,male,16,heterosexual or straight,dem,black,1,18750.0
excellent,31,male,14,heterosexual or straight,rep,black,0,18750.0
excellent,37,male,16,heterosexual or straight,dem,black,0,18750.0
good,26,female,12,heterosexual or straight,dem,white,0,
fair,54,female,10,heterosexual or straight,dem,white,1,6500.0
good,79,female,12,heterosexual or straight,rep,white,1,
fair,41,male,12,heterosexual or straight,rep,white,1,18750.0
good,63,male,12,heterosexual or straight,rep,white,1,
fair,25,male,13,heterosexual or straight,dem,black,0,11250.0
poor,34,female,5,heterosexual or straight,dem,black,0,
good,46,male,16,heterosexual or straight,dem,other,1,18750.0
good,34,female,11,heterosexual or straight,dem,other,1,18750.0
poor,22,female,11,heterosexual or straight,other,white,0,
excellent,19,male,12,heterosexual or straight,other,black,0,
good,46,male,16,heterosexual or straight,dem,other,1,18750.0
good,41,female,14,heterosexual or straight,dem,white,1,18750.0
good,29,male,12,heterosexual or straight,other,white,1,
excellent,56,male,16,heterosexual or straight,rep,white,1,13750.0
good,61,male,17,heterosexual or straight,dem,white,1,18750.0
poor,78,female,13,heterosexual or straight,dem,black,1,
good,43,male,12,heterosexual or straight,other,white,1,11250.0
good,59,male,12,heterosexual or straight,dem,white,0,
excellent,37,male,14,heterosexual or straight,dem,white,1,
excellent,41,female,16,heterosexual or straight,dem,white,1,18750.0
excellent,59,female,16,heterosexual or straight,dem,white,1,
good,23,female,15,heterosexual or straight,other,white,0,13750.0
excellent,30,female,16,heterosexual or straight,dem,white,0,13750.0
poor,75,female,10,heterosexual or straight,rep,white,1,
excellent,46,female,5,heterosexual or straight,dem,white,0,
good,19,male,12,heterosexual or straight,other,white,0,
fair,58,male,2,heterosexual or straight,dem,other,1,18750.0
good,75,female,16,heterosexual or straight,rep,other,1,
good,41,female,12,heterosexual or straight,other,other,0,16250.0
good,72,male,16,heterosexual or straight,rep,white,1,18750.0
good,66,female,14,heterosexual or straight,dem,white,1,
excellent,45,female,12,heterosexual or straight,rep,white,1,
fair,42,female,11,heterosexual or straight,dem,black,0,
good,25,female,10,heterosexual or straight,other,other,1,11250.0
fair,59,female,11,heterosexual or straight,dem,white,1,
good,80,female,11,heterosexual or straight,rep,white,1,
good,43,male,18,heterosexual or straight,rep,white,1,18750.0
fair,81,male,16,heterosexual or straight,rep,white,1,
fair,48,male,12,heterosexual or straight,dem,black,1,18750.0
fair,48,female,12,heterosexual or straight,dem,other,0,18750.0
good,57,male,13,heterosexual or straight,dem,black,1,
good,29,female,14,heterosexual or straight,dem,white,0,13750.0
excellent,50,female,14,heterosexual or straight,dem,black,1,18750.0
good,32,male,19,heterosexual or straight,dem,white,1,18750.0
good,26,female,12,bisexual,dem,white,1,18750.0
excellent,39,female,10,heterosexual or straight,other,other,1,16250.0
good,20,male,14,heterosexual or straight,dem,white,0,13750.0
good,39,female,15,heterosexual or straight,rep,white,1,2000.0
fair,57,female,12,heterosexual or straight,dem,white,1,4500.0
poor,81,female,10,heterosexual or straight,rep,white,1,
good,31,male,10,heterosexual or straight,rep,white,0,18750.0
excellent,31,female,15,heterosexual or straight,other,white,1,16250.0
excellent,61,male,12,heterosexual or straight,dem,other,1,
good,84,male,19,heterosexual or straight,rep,white,0,
excellent,54,female,16,heterosexual or straight,dem,white,1,
good,84,female,16,heterosexual or straight,other,white,1,
fair,65,male,16,heterosexual or straight,dem,white,1,18750.0
excellent,34,female,19,heterosexual or straight,dem,black,1,18750.0
poor,78,female,8,heterosexual or straight,dem,white,1,
fair,73,female,11,heterosexual or straight,dem,white,1,
excellent,25,female,15,heterosexual or straight,dem,white,0,18750.0
excellent,30,female,20,heterosexual or straight,other,white,1,18750.0
good,40,female,12,heterosexual or straight,dem,black,1,18750.0
excellent,25,male,12,homosexual or gay,other,black,0,7500.0
good,55,male,20,heterosexual or straight,dem,other,1,18750.0
good,19,female,11,bisexual,dem,other,0,
fair,31,female,10,heterosexual or straight,rep,other,0,9000.0
excellent,70,female,17,heterosexual or straight,dem,white,1,
good,50,female,12,heterosexual or straight,other,other,1,
good,36,female,9,heterosexual or straight,dem,white,1,16250.0
good,34,female,15,heterosexual or straight,dem,other,1,16250.0
good,19,female,12,bisexual,dem,other,0,500.0
good,39,female,12,heterosexual or straight,other,other,1,
good,66,male,15,heterosexual or straight,dem,other,1,18750.0
excellent,73,female,19,heterosexual or straight,dem,white,1,
excellent,74,female,10,heterosexual or straight,rep,white,1,
good,36,female,6,heterosexual or straight,rep,other,1,
good,23,male,10,heterosexual or straight,dem,black,0,
good,64,female,18,heterosexual or straight,rep,white,1,13750.0
good,39,female,18,heterosexual or straight,dem,other,0,3500.0
good,74,male,16,heterosexual or straight,dem,white,1,
good,45,female,17,heterosexual or straight,other,white,1,18750.0
fair,69,female,12,heterosexual or straight,rep,white,1,
excellent,42,female,20,heterosexual or straight,dem,white,1,18750.0
excellent,70,male,18,heterosexual or straight,rep,white,1,11250.0
good,53,female,13,heterosexual or straight,other,white,1,16250.0
good,29,male,18,heterosexual or straight,dem,white,1,18750.0
fair,28,male,13,heterosexual or straight,dem,other,0,500.0
good,50,female,16,heterosexual or straight,dem,white,1,11250.0
good,57,female,12,heterosexual or straight,rep,white,1,18750.0
fair,32,female,17,homosexual or gay,dem,white,1,18750.0
excellent,30,female,16,heterosexual or straight,rep,white,0,18750.0
excellent,49,male,16,heterosexual or straight,rep,white,1,18750.0
good,24,female,16,heterosexual or straight,other,white,0,
excellent,49,female,16,heterosexual or straight,rep,white,1,18750.0
good,67,male,20,heterosexual or straight,dem,other,1,18750.0
excellent,69,female,16,heterosexual or straight,rep,white,1,
good,65,male,15,heterosexual or straight,dem,white,1,18750.0
good,52,male,12,heterosexual or straight,rep,white,1,18750.0
good,60,male,13,heterosexual or straight,dem,white,1,18750.0
excellent,36,female,18,heterosexual or straight,rep,white,1,18750.0
excellent,23,male,14,homosexual or gay,dem,black,0,
fair,19,male,10,heterosexual or straight,dem,white,0,18750.0
fair,57,male,20,heterosexual or straight,rep,white,1,18750.0
good,33,male,12,heterosexual or straight,other,other,1,18750.0
good,38,female,15,heterosexual or straight,dem,black,0,18750.0
good,23,male,11,bisexual,dem,white,0,3500.0
good,55,male,12,heterosexual or straight,dem,black,1,18750.0
good,22,female,14,bisexual,dem,black,0,18750.0
good,55,female,14,heterosexual or straight,dem,black,1,
excellent,65,female,12,heterosexual or straight,other,white,1,
good,64,female,16,heterosexual or straight,dem,white,0,
fair,41,female,12,heterosexual or straight,dem,white,1,18750.0
excellent,58,male,12,heterosexual or straight,rep,white,1,18750.0
good,52,female,14,heterosexual or straight,dem,white,1,18750.0
excellent,70,male,16,heterosexual or straight,dem,white,1,18750.0
excellent,31,female,16,heterosexual or straight,other,white,1,18750.0
excellent,35,male,19,heterosexual or straight,dem,white,1,18750.0
excellent,72,female,13,heterosexual or straight,dem,white,0,16250.0
good,77,female,12,heterosexual or straight,rep,white,1,
good,37,female,16,heterosexual or straight,dem,black,1,16250.0
excellent,35,female,17,heterosexual or straight,dem,white,1,18750.0
good,62,female,13,heterosexual or straight,dem,black,1,18750.0
good,70,male,16,heterosexual or straight,rep,white,1,5500.0
good,57,female,20,heterosexual or straight,dem,other,1,18750.0
good,55,male,20,heterosexual or straight,rep,white,0,
good,39,male,15,heterosexual or straight,rep,black,1,
good,52,male,15,heterosexual or straight,dem,black,1,
poor,42,male,9,heterosexual or straight,dem,white,1,16250.0
fair,25,male,16,heterosexual or straight,dem,black,0,7500.0
fair,42,female,12,heterosexual or straight,other,black,0,13750.0
excellent,46,female,5,heterosexual or straight,rep,black,1,
fair,89,female,12,heterosexual or straight,dem,white,1,
poor,18,female,11,heterosexual or straight,dem,black,0,
good,41,male,11,heterosexual or straight,rep,white,1,18750.0
excellent,56,male,18,homosexual or gay,rep,white,1,18750.0
good,45,male,12,heterosexual or straight,rep,white,1,11250.0
excellent,25,female,16,heterosexual or straight,dem,white,0,18750.0
good,24,male,16,heterosexual or straight,dem,white,0,18750.0
excellent,25,female,16,heterosexual or straight,dem,other,0,500.0
excellent,36,male,20,heterosexual or straight,dem,white,1,3500.0
fair,65,male,12,heterosexual or straight,dem,white,0,18750.0
good,44,male,17,heterosexual or straight,rep,white,0,18750.0
good,59,male,20,heterosexual or straight,dem,white,1,18750.0
excellent,65,male,17,heterosexual or straight,dem,white,1,18750.0
good,41,female,17,heterosexual or straight,dem,white,1,
good,66,male,16,heterosexual or straight,dem,white,0,
good,31,male,19,heterosexual or straight,dem,black,1,
good,32,male,20,heterosexual or straight,dem,white,1,16250.0
good,28,male,16,heterosexual or straight,dem,white,1,18750.0
good,29,female,12,heterosexual or straight,dem,black,1,13750.0
excellent,71,male,18,heterosexual or straight,rep,white,1,
fair,44,female,16,heterosexual or straight,other,white,1,18750.0
good,31,male,10,heterosexual or straight,other,white,0,
poor,65,male,13,heterosexual or straight,dem,white,1,
excellent,72,male,17,heterosexual or straight,rep,white,1,
good,45,female,18,heterosexual or straight,rep,white,1,13750.0
good,23,male,11,heterosexual or straight,dem,white,0,
excellent,55,male,10,heterosexual or straight,dem,black,1,
good,74,female,12,heterosexual or straight,dem,white,1,9000.0
good,60,male,12,heterosexual or straight,dem,other,1,11250.0
good,38,male,9,heterosexual or straight,dem,white,0,
good,55,female,15,heterosexual or straight,other,white,1,16250.0
good,28,male,16,heterosexual or straight,dem,white,0,18750.0
excellent,24,female,17,heterosexual or straight,dem,white,0,18750.0
fair,53,female,14,heterosexual or straight,dem,white,1,
good,40,female,14,heterosexual or straight,rep,white,1,18750.0
good,55,female,16,heterosexual or straight,other,white,1,18750.0
good,70,male,12,heterosexual or straight,other,white,1,
good,63,male,13,heterosexual or straight,dem,white,1,18750.0
good,69,female,16,heterosexual or straight,rep,white,1,
good,38,male,17,heterosexual or straight,dem,white,1,18750.0
fair,63,male,16,dont know,other,white,0,
good,43,male,19,heterosexual or straight,rep,white,1,
good,31,male,12,heterosexual or straight,other,white,0,18750.0
excellent,54,female,18,heterosexual or straight,dem,white,1,18750.0
good,38,male,16,heterosexual or straight,dem,white,1,18750.0
good,47,female,18,heterosexual or straight,dem,white,1,18750.0
fair,54,female,16,heterosexual or straight,dem,other,1,
excellent,25,male,16,heterosexual or straight,dem,white,0,18750.0
fair,54,female,18,heterosexual or straight,dem,white,1,
good,57,female,18,heterosexual or straight,dem,white,1,18750.0
fair,66,male,12,heterosexual or straight,dem,white,0,18750.0
good,69,male,12,heterosexual or straight,dem,white,1,
good,50,female,17,heterosexual or straight,other,other,1,18750.0
fair,65,female,13,heterosexual or straight,other,other,1,18750.0
good,74,male,19,heterosexual or straight,dem,white,1,18750.0
good,68,male,16,heterosexual or straight,rep,white,1,
excellent,65,male,18,heterosexual or straight,rep,white,1,18750.0
good,54,male,16,heterosexual or straight,dem,white,1,18750.0
good,40,female,16,heterosexual or straight,rep,other,1,
good,71,male,16,heterosexual or straight,rep,other,1,18750.0
excellent,58,female,16,heterosexual or straight,dem,other,1,18750.0
excellent,37,female,15,heterosexual or straight,other,black,1,18750.0
good,51,female,15,heterosexual or straight,dem,black,1,
excellent,34,female,13,heterosexual or straight,dem,black,0,18750.0
good,69,female,16,homosexual or gay,other,white,0,18750.0
excellent,68,female,14,heterosexual or straight,dem,black,1,11250.0
good,32,male,13,heterosexual or straight,dem,black,1,18750.0
good,74,female,12,heterosexual or straight,rep,white,1,
good,37,female,16,heterosexual or straight,dem,black,0,18750.0
fair,50,male,14,heterosexual or straight,dem,white,1,
good,63,male,12,heterosexual or straight,dem,white,1,16250.0
fair,50,male,10,heterosexual or straight,other,white,1,18750.0
fair,21,male,12,heterosexual or straight,dem,other,0,18750.0
excellent,40,male,12,bisexual,dem,other,1,18750.0
fair,28,male,17,heterosexual or straight,dem,white,0,18750.0
fair,41,female,6,heterosexual or straight,other,white,0,13750.0
fair,29,male,18,heterosexual or straight,rep,other,1,18750.0
fair,22,male,11,heterosexual or straight,dem,white,0,
good,33,female,12,heterosexual or straight,rep,other,1,500.0
good,42,female,17,heterosexual or straight,dem,white,0,18750.0
excellent,29,male,16,homosexual or gay,dem,white,0,18750.0
excellent,44,male,20,heterosexual or straight,dem,white,1,18750.0
excellent,30,female,16,heterosexual or straight,other,white,1,18750.0
good,37,female,15,bisexual,other,white,1,11250.0
good,70,male,16,heterosexual or straight,dem,white,1,
excellent,64,female,16,heterosexual or straight,rep,white,1,9000.0
excellent,50,male,17,heterosexual or straight,dem,white,1,
excellent,38,female,16,heterosexual or straight,rep,other,1,18750.0
poor,77,female,16,heterosexual or straight,dem,other,1,
excellent,49,female,12,heterosexual or straight,other,other,1,18750.0
fair,49,female,14,heterosexual or straight,rep,white,1,500.0
fair,64,female,12,heterosexual or straight,other,white,1,
good,49,female,16,heterosexual or straight,other,white,1,18750.0
good,68,female,13,heterosexual or straight,rep,white,1,13750.0
good,53,male,12,heterosexual or straight,rep,white,1,18750.0
excellent,30,female,16,heterosexual or straight,rep,white,1,18750.0
excellent,44,female,16,heterosexual or straight,rep,white,1,
excellent,56,male,14,heterosexual or straight,other,black,1,13750.0
excellent,31,female,13,bisexual,other,black,1,6500.0
good,55,female,12,heterosexual or straight,other,black,0,18750.0
fair,54,male,14,heterosexual or straight,rep,other,1,13750.0
good,53,female,16,heterosexual or straight,dem,black,1,
good,72,female,20,heterosexual or straight,dem,white,1,
excellent,70,male,12,heterosexual or straight,dem,white,0,
good,54,female,16,heterosexual or straight,rep,white,1,18750.0
fair,70,female,13,heterosexual or straight,rep,white,1,13750.0
excellent,47,male,12,heterosexual or straight,dem,black,1,18750.0
excellent,47,male,16,heterosexual or straight,rep,white,1,18750.0
good,33,male,14,heterosexual or straight,dem,white,1,
fair,47,male,13,heterosexual or straight,dem,black,1,3500.0
good,40,female,17,heterosexual or straight,dem,white,0,
good,42,female,15,bisexual,dem,black,1,13750.0
fair,56,female,20,dont know,rep,white,1,18750.0
fair,66,male,15,heterosexual or straight,rep,white,1,
fair,18,female,12,heterosexual or straight,rep,white,0,
poor,58,female,13,heterosexual or straight,other,white,1,
excellent,76,female,14,heterosexual or straight,other,white,1,
good,66,male,16,heterosexual or straight,dem,black,1,
good,62,female,15,heterosexual or straight,rep,white,1,18750.0
excellent,83,female,20,heterosexual or straight,dem,white,1,
excellent,66,male,16,homosexual or gay,dem,white,1,16250.0
good,61,female,12,heterosexual or straight,rep,white,1,
excellent,57,male,16,heterosexual or straight,rep,white,1,18750.0
good,58,male,15,heterosexual or straight,rep,white,1,18750.0
excellent,29,male,16,heterosexual or straight,dem,other,1,18750.0
excellent,36,male,16,heterosexual or straight,dem,white,1,18750.0
excellent,43,female,16,heterosexual or straight,rep,white,1,
good,26,male,12,heterosexual or straight,rep,white,0,18750.0
excellent,71,female,12,heterosexual or straight,rep,white,1,
fair,67,male,17,heterosexual or straight,rep,white,1,
fair,31,female,16,heterosexual or straight,other,other,1,
good,40,male,16,heterosexual or straight,other,other,1,
fair,70,female,12,heterosexual or straight,dem,white,1,16250.0
excellent,62,female,14,heterosexual or straight,rep,white,1,
excellent,21,female,14,bisexual,dem,white,0,13750.0
good,41,male,13,heterosexual or straight,dem,white,0,18750.0
fair,76,female,10,heterosexual or straight,dem,black,1,
good,30,male,13,heterosexual or straight,rep,white,0,6500.0
fair,55,female,13,heterosexual or straight,dem,black,1,
good,26,female,14,heterosexual or straight,dem,black,0,11250.0
fair,49,female,11,heterosexual or straight,dem,black,1,4500.0
