health,age,sex,educ,sexornt,partyid,race,married,income
fair,40,female,14,heterosexual or straight,dem,white,1,18750.0
excellent,26,female,12,heterosexual or straight,other,other,1,16250.0
good,83,female,12,heterosexual or straight,other,white,1,
poor,78,male,20,heterosexual or straight,other,white,1,
good,50,male,12,heterosexual or straight,dem,white,1,
good,31,female,14,heterosexual or straight,other,white,1,
excellent,75,male,12,heterosexual or straight,rep,white,1,
good,52,male,20,heterosexual or straight,rep,white,1,18750.0
excellent,79,male,16,heterosexual or straight,dem,white,1,
excellent,24,female,20,heterosexual or straight,dem,white,1,3500.0
good,71,male,16,heterosexual or straight,rep,white,1,
good,81,male,17,heterosexual or straight,dem,white,1,
fair,31,female,19,heterosexual or straight,dem,other,0,
good,20,male,13,heterosexual or straight,rep,white,0,3500.0
excellent,33,female,13,heterosexual or straight,dem,white,1,500.0
excellent,47,female,18,bisexual,dem,white,0,18750.0
excellent,26,male,17,heterosexual or straight,other,other,0,18750.0
excellent,47,female,17,heterosexual or straight,dem,white,1,18750.0
fair,47,male,16,heterosexual or straight,rep,white,1,
excellent,35,female,14,heterosexual or straight,rep,white,0,18750.0
good,58,female,16,heterosexual or straight,dem,white,1,18750.0
excellent,51,female,16,heterosexual or straight,rep,white,0,18750.0
good,62,male,14,heterosexual or straight,rep,white,1,11250.0
poor,61,female,16,heterosexual or straight,dem,white,1,
good,40,male,20,heterosexual or straight,rep,white,1,18750.0
excellent,61,female,13,heterosexual or straight,dem,black,1,
excellent,62,female,16,heterosexual or straight,dem,white,1,5500.0
excellent,32,male,18,heterosexual or straight,rep,white,1,18750.0
fair,60,female,7,heterosexual or straight,rep,other,1,
good,36,male,12,heterosexual or straight,rep,white,1,18750.0
excellent,20,male,12,heterosexual or straight,rep,white,0,
good,23,female,14,heterosexual or straight,other,white,1,
excellent,29,male,17,heterosexual or straight,other,white,0,11250.0
good,32,female,18,heterosexual or straight,dem,white,0,13750.0
poor,54,male,14,heterosexual or straight,dem,white,1,
good,43,female,14,heterosexual or straight,other,white,1,9000.0
fair,31,male,16,heterosexual or straight,rep,white,1,18750.0
excellent,36,male,14,heterosexual or straight,rep,white,1,18750.0
excellent,42,female,16,heterosexual or straight,rep,white,1,
good,60,female,16,heterosexual or straight,dem,white,1,18750.0
excellent,72,female,12,heterosexual or straight,rep,white,1,
good,49,male,12,heterosexual or straight,rep,white,1,18750.0
good,33,female,12,heterosexual or straight,rep,white,1,18750.0
excellent,89,female,12,heterosexual or straight,dem,white,1,
fair,44,male,11,heterosexual or straight,other,white,1,18750.0
excellent,74,male,12,heterosexual or straight,dem,black,1,
fair,49,male,12,heterosexual or straight,dem,white,1,18750.0
excellent,53,female,16,heterosexual or straight,dem,white,1,13750.0
good,69,male,12,heterosexual or straight,dem,white,1,
good,78,female,14,heterosexual or straight,dem,white,1,
excellent,55,female,18,heterosexual or straight,dem,white,1,
fair,43,female,13,heterosexual or straight,dem,white,0,
fair,47,male,14,heterosexual or straight,other,white,1,6500.0
excellent,40,female,12,heterosexual or straight,rep,white,1,13750.0
fair,58,male,12,heterosexual or straight,dem,white,1,18750.0
poor,53,male,19,heterosexual or straight,dem,white,1,
excellent,19,female,12,bisexual,other,white,0,2000.0
good,53,female,12,heterosexual or straight,dem,white,1,
good,33,female,16,heterosexual or straight,rep,white,1,18750.0
fair,26,male,16,heterosexual or straight,dem,white,0,13750.0
good,52,male,9,heterosexual or straight,rep,white,1,18750.0
fair,50,male,12,heterosexual or straight,dem,white,0,
poor,53,male,15,heterosexual or straight,dem,white,0,
excellent,45,male,20,heterosexual or straight,dem,white,1,13750.0
excellent,67,male,15,heterosexual or straight,dem,white,1,18750.0
good,44,female,15,heterosexual or straight,dem,black,0,18750.0
good,37,male,18,heterosexual or straight,rep,white,1,18750.0
excellent,27,male,12,heterosexual or straight,dem,white,1,18750.0
good,58,male,20,heterosexual or straight,dem,white,1,18750.0
good,66,male,16,heterosexual or straight,dem,white,1,18750.0
good,61,male,14,heterosexual or straight,rep,white,0,18750.0
good,25,male,12,heterosexual or straight,rep,white,0,
good,42,female,18,heterosexual or straight,dem,white,1,11250.0
good,64,female,20,heterosexual or straight,rep,white,1,18750.0
fair,46,female,9,heterosexual or straight,other,white,1,
excellent,60,female,14,heterosexual or straight,dem,white,1,18750.0
poor,33,male,16,heterosexual or straight,dem,white,1,
fair,46,male,9,heterosexual or straight,rep,white,1,4500.0
fair,25,male,10,heterosexual or straight,other,other,0,11250.0
excellent,36,male,15,heterosexual or straight,dem,white,1,18750.0
good,27,male,18,heterosexual or straight,dem,other,0,
fair,29,female,14,heterosexual or straight,other,black,0,
excellent,25,female,16,bisexual,dem,white,0,13750.0
poor,28,female,12,bisexual,other,white,1,2000.0
good,39,female,12,heterosexual or straight,rep,white,1,
good,33,female,16,heterosexual or straight,rep,white,0,18750.0
good,67,female,15,heterosexual or straight,dem,white,1,
good,71,female,15,heterosexual or straight,dem,other,1,18750.0
good,58,female,19,heterosexual or straight,dem,white,1,18750.0
good,59,male,19,heterosexual or straight,dem,white,1,18750.0
good,70,female,20,bisexual,dem,white,0,
fair,67,female,12,heterosexual or straight,dem,other,1,
poor,50,male,12,heterosexual or straight,rep,white,1,
excellent,67,female,16,heterosexual or straight,dem,white,1,
fair,35,female,12,heterosexual or straight,other,white,1,
good,73,female,12,heterosexual or straight,dem,other,1,
good,34,female,13,heterosexual or straight,dem,white,0,16250.0
fair,56,female,11,heterosexual or straight,dem,white,1,
excellent,70,female,12,heterosexual or straight,dem,white,1,
good,55,female,16,heterosexual or straight,dem,white,1,
good,32,male,19,heterosexual or straight,other,white,0,18750.0
good,56,female,18,heterosexual or straight,other,white,1,18750.0
poor,60,male,12,heterosexual or straight,other,white,1,
good,80,male,14,heterosexual or straight,rep,white,1,
fair,30,male,10,heterosexual or straight,other,white,0,11250.0
excellent,43,female,14,heterosexual or straight,dem,white,1,18750.0
good,51,female,12,heterosexual or straight,dem,black,1,16250.0
fair,59,female,8,heterosexual or straight,rep,other,1,
excellent,66,female,12,heterosexual or straight,rep,white,1,11250.0
good,32,male,16,heterosexual or straight,rep,other,1,18750.0
good,55,male,12,heterosexual or straight,rep,white,1,18750.0
fair,62,male,16,heterosexual or straight,dem,white,1,18750.0
fair,19,male,11,heterosexual or straight,rep,white,0,
good,50,female,12,heterosexual or straight,rep,white,1,13750.0
good,37,female,16,heterosexual or straight,rep,white,1,
fair,43,male,14,heterosexual or straight,rep,white,1,18750.0
excellent,26,male,16,heterosexual or straight,other,white,0,11250.0
excellent,19,female,12,heterosexual or straight,rep,white,0,4500.0
poor,43,female,12,heterosexual or straight,other,white,0,
fair,74,female,14,heterosexual or straight,other,white,1,
good,60,male,12,heterosexual or straight,dem,white,1,18750.0
excellent,49,male,16,heterosexual or straight,rep,white,1,18750.0
good,41,female,15,heterosexual or straight,dem,white,1,
good,33,female,10,heterosexual or straight,dem,black,0,
poor,73,male,12,heterosexual or straight,rep,white,1,
fair,34,male,14,heterosexual or straight,dem,white,0,
fair,37,female,16,heterosexual or straight,other,white,1,9000.0
good,72,female,14,heterosexual or straight,other,white,1,
good,53,male,12,heterosexual or straight,dem,white,1,18750.0
excellent,33,female,14,heterosexual or straight,dem,white,1,3500.0
good,66,male,12,heterosexual or straight,rep,white,1,11250.0
good,52,female,12,heterosexual or straight,dem,white,1,5500.0
good,60,female,18,heterosexual or straight,dem,white,1,18750.0
good,27,female,13,bisexual,dem,white,0,13750.0
good,62,male,15,heterosexual or straight,rep,white,1,
good,65,male,9,heterosexual or straight,rep,white,1,18750.0
excellent,41,male,16,heterosexual or straight,rep,white,1,18750.0
fair,63,female,12,heterosexual or straight,dem,white,1,3500.0
good,33,female,16,heterosexual or straight,other,white,1,18750.0
excellent,21,male,12,heterosexual or straight,dem,black,0,5500.0
excellent,47,female,16,heterosexual or straight,rep,white,1,18750.0
excellent,36,female,10,heterosexual or straight,other,black,0,13750.0
fair,49,female,12,heterosexual or straight,rep,white,1,
good,83,female,17,heterosexual or straight,dem,white,1,16250.0
excellent,22,male,16,heterosexual or straight,other,white,0,5500.0
good,55,female,16,heterosexual or straight,dem,white,1,
excellent,45,male,16,heterosexual or straight,other,white,1,
good,57,female,12,heterosexual or straight,other,white,1,18750.0
good,63,male,12,heterosexual or straight,other,white,1,
fair,27,female,10,heterosexual or straight,rep,white,0,
fair,64,female,12,heterosexual or straight,dem,black,1,
good,31,male,12,heterosexual or straight,rep,white,0,16250.0
good,40,male,16,heterosexual or straight,rep,white,1,18750.0
poor,46,female,12,heterosexual or straight,rep,white,0,
good,62,male,12,heterosexual or straight,other,white,1,11250.0
excellent,52,male,13,heterosexual or straight,rep,white,1,18750.0
good,49,male,11,heterosexual or straight,dem,black,1,5500.0
excellent,37,male,16,heterosexual or straight,rep,white,1,18750.0
good,39,male,12,heterosexual or straight,dem,black,1,11250.0
good,58,female,14,heterosexual or straight,rep,white,1,
poor,77,female,12,heterosexual or straight,rep,white,1,
fair,49,female,12,heterosexual or straight,other,white,1,13750.0
fair,58,male,13,heterosexual or straight,rep,white,1,
excellent,60,female,12,heterosexual or straight,dem,white,1,
good,56,female,12,heterosexual or straight,dem,black,1,
good,86,male,16,heterosexual or straight,rep,white,1,
good,32,male,14,heterosexual or straight,rep,white,1,18750.0
good,61,female,11,heterosexual or straight,dem,black,1,
excellent,19,female,12,heterosexual or straight,other,black,0,
fair,25,female,13,heterosexual or straight,other,black,1,2000.0
good,69,male,10,heterosexual or straight,dem,black,1,
good,57,female,12,heterosexual or straight,dem,white,1,
fair,45,female,10,heterosexual or straight,other,white,1,6500.0
excellent,37,female,18,heterosexual or straight,dem,black,0,
excellent,52,female,12,heterosexual or straight,dem,black,0,500.0
fair,55,female,12,heterosexual or straight,dem,black,1,
good,30,female,12,heterosexual or straight,dem,black,0,
poor,56,female,18,heterosexual or straight,rep,white,1,
excellent,50,male,20,heterosexual or straight,dem,white,1,18750.0
fair,78,female,12,heterosexual or straight,dem,white,1,
fair,28,male,8,heterosexual or straight,rep,white,1,
fair,65,female,12,heterosexual or straight,dem,white,1,11250.0
excellent,68,female,16,heterosexual or straight,dem,white,1,
good,66,female,18,heterosexual or straight,rep,white,1,
good,84,male,15,heterosexual or straight,rep,white,1,
excellent,43,male,19,heterosexual or straight,rep,black,1,18750.0
good,33,male,13,heterosexual or straight,dem,black,0,
good,37,female,18,heterosexual or straight,other,white,1,18750.0
good,30,male,10,heterosexual or straight,dem,black,0,9000.0
poor,74,male,3,heterosexual or straight,other,black,1,
poor,65,female,8,heterosexual or straight,dem,white,1,
good,25,male,16,heterosexual or straight,rep,white,0,
good,36,female,12,heterosexual or straight,dem,white,1,
excellent,25,male,14,heterosexual or straight,rep,white,1,18750.0
good,46,female,12,heterosexual or straight,dem,black,0,16250.0
fair,37,female,11,heterosexual or straight,dem,black,1,9000.0
good,44,female,14,heterosexual or straight,dem,white,1,5500.0
fair,22,male,11,heterosexual or straight,other,white,0,
good,33,female,12,heterosexual or straight,rep,white,1,13750.0
good,30,female,16,heterosexual or straight,dem,black,1,18750.0
good,41,female,15,heterosexual or straight,rep,white,1,18750.0
excellent,56,female,13,heterosexual or straight,rep,white,1,16250.0
excellent,88,female,14,heterosexual or straight,rep,white,1,
good,72,male,12,heterosexual or straight,rep,white,1,18750.0
good,49,female,14,heterosexual or straight,dem,white,1,
excellent,48,female,13,heterosexual or straight,other,black,1,
fair,50,male,10,heterosexual or straight,other,white,1,18750.0
excellent,46,female,13,heterosexual or straight,dem,black,1,11250.0
good,32,female,13,heterosexual or straight,dem,black,0,4500.0
good,25,female,11,heterosexual or straight,other,other,0,
good,58,male,12,heterosexual or straight,rep,white,1,18750.0
good,60,female,16,heterosexual or straight,rep,white,0,18750.0
fair,41,female,12,heterosexual or straight,dem,black,0,18750.0
good,54,female,14,heterosexual or straight,other,black,1,18750.0
excellent,72,female,16,heterosexual or straight,rep,white,1,
excellent,52,female,20,heterosexual or straight,dem,white,1,18750.0
excellent,71,male,16,heterosexual or straight,rep,white,1,
good,25,female,12,heterosexual or straight,other,black,0,
good,79,female,16,heterosexual or straight,rep,white,1,
fair,20,female,12,heterosexual or straight,dem,white,0,7500.0
good,69,female,19,heterosexual or straight,rep,white,1,18750.0
good,47,male,12,heterosexual or straight,other,white,1,18750.0
good,65,male,13,heterosexual or straight,dem,white,1,
excellent,43,male,16,heterosexual or straight,other,white,1,
good,35,male,10,heterosexual or straight,dem,other,1,16250.0
excellent,27,female,16,heterosexual or straight,dem,white,0,18750.0
fair,41,female,14,heterosexual or straight,rep,white,1,
excellent,50,female,16,heterosexual or straight,other,white,1,
good,29,female,14,heterosexual or straight,rep,white,1,16250.0
fair,47,male,12,heterosexual or straight,dem,black,1,
fair,48,female,11,heterosexual or straight,dem,white,1,4500.0
poor,74,female,10,heterosexual or straight,other,white,1,
good,39,female,10,heterosexual or straight,other,white,0,5500.0
excellent,58,male,18,heterosexual or straight,other,white,1,
fair,45,female,12,heterosexual or straight,rep,white,1,
fair,52,female,13,heterosexual or straight,dem,black,1,11250.0
excellent,62,male,8,heterosexual or straight,rep,white,1,18750.0
excellent,88,female,12,heterosexual or straight,rep,white,1,
fair,49,female,10,heterosexual or straight,rep,white,1,
fair,88,male,12,heterosexual or straight,other,white,1,
good,69,female,14,heterosexual or straight,rep,white,1,18750.0
good,53,male,12,heterosexual or straight,rep,white,1,18750.0
excellent,64,male,10,heterosexual or straight,dem,white,1,18750.0
fair,43,female,11,heterosexual or straight,dem,white,1,5500.0
good,56,female,12,heterosexual or straight,rep,white,1,18750.0
excellent,51,male,11,heterosexual or straight,rep,white,1,18750.0
fair,47,male,12,heterosexual or straight,rep,white,1,18750.0
excellent,32,female,16,homosexual or gay,dem,white,0,18750.0
excellent,41,female,20,heterosexual or straight,dem,black,1,18750.0
fair,20,female,12,heterosexual or straight,other,black,0,2000.0
fair,43,female,16,heterosexual or straight,dem,black,1,18750.0
excellent,22,female,16,heterosexual or straight,dem,black,0,11250.0
fair,39,male,18,heterosexual or straight,other,black,1,18750.0
good,30,female,12,heterosexual or straight,dem,black,0,18750.0
good,57,female,14,heterosexual or straight,rep,black,1,18750.0
good,20,male,14,heterosexual or straight,rep,black,0,
fair,38,female,8,heterosexual or straight,dem,black,1,
excellent,87,female,18,heterosexual or straight,dem,black,1,
fair,58,female,11,heterosexual or straight,dem,black,1,
good,67,male,16,heterosexual or straight,dem,black,1,
poor,47,male,12,heterosexual or straight,other,white,1,
good,52,male,20,heterosexual or straight,rep,white,1,18750.0
good,30,female,12,heterosexual or straight,dem,black,0,18750.0
good,82,male,14,heterosexual or straight,rep,white,1,
good,68,female,12,heterosexual or straight,other,black,1,
fair,46,male,12,heterosexual or straight,dem,black,1,13750.0
good,25,female,10,heterosexual or straight,dem,black,0,4500.0
excellent,32,male,12,homosexual or gay,dem,black,0,500.0
excellent,60,male,18,heterosexual or straight,dem,white,1,18750.0
good,40,male,16,heterosexual or straight,rep,white,1,18750.0
good,62,male,16,heterosexual or straight,dem,white,1,18750.0
fair,75,female,11,heterosexual or straight,rep,white,1,
good,30,male,12,heterosexual or straight,dem,white,1,11250.0
good,28,female,14,heterosexual or straight,rep,white,1,16250.0
excellent,46,male,18,heterosexual or straight,rep,white,1,18750.0
excellent,42,female,16,heterosexual or straight,other,black,1,18750.0
poor,63,male,14,heterosexual or straight,dem,other,1,16250.0
fair,68,female,12,heterosexual or straight,rep,white,1,
excellent,64,male,14,heterosexual or straight,dem,white,1,18750.0
good,74,male,20,heterosexual or straight,dem,other,1,18750.0
good,44,male,16,heterosexual or straight,rep,white,1,18750.0
excellent,51,female,16,heterosexual or straight,rep,white,1,
excellent,58,female,15,heterosexual or straight,rep,white,1,
excellent,78,female,16,heterosexual or straight,dem,white,1,
excellent,58,female,12,heterosexual or straight,rep,white,1,18750.0
poor,41,male,14,heterosexual or straight,other,white,1,
fair,66,male,18,heterosexual or straight,dem,white,1,18750.0
fair,52,male,14,heterosexual or straight,rep,white,0,18750.0
good,56,female,19,heterosexual or straight,rep,white,1,13750.0
good,25,female,14,heterosexual or straight,other,white,0,11250.0
excellent,53,male,20,heterosexual or straight,dem,white,1,18750.0
excellent,26,male,14,heterosexual or straight,dem,white,0,13750.0
fair,60,female,14,heterosexual or straight,rep,white,1,
fair,53,female,12,homosexual or gay,dem,white,0,
excellent,71,male,12,heterosexual or straight,dem,white,1,
fair,80,female,12,heterosexual or straight,dem,white,1,
good,35,male,16,heterosexual or straight,rep,white,1,18750.0
good,32,male,16,heterosexual or straight,rep,white,1,18750.0
good,56,female,12,heterosexual or straight,rep,white,1,18750.0
poor,45,female,13,heterosexual or straight,rep,white,1,
good,65,male,16,heterosexual or straight,rep,white,1,
good,51,male,13,heterosexual or straight,rep,black,1,18750.0
good,23,male,13,heterosexual or straight,other,white,0,3500.0
good,79,male,16,heterosexual or straight,rep,other,1,
good,61,female,14,heterosexual or straight,dem,white,1,11250.0
good,80,female,12,heterosexual or straight,dem,white,1,
fair,67,male,14,heterosexual or straight,dem,white,1,
good,50,female,16,heterosexual or straight,dem,white,1,
good,41,male,14,heterosexual or straight,rep,white,1,18750.0
excellent,33,female,12,heterosexual or straight,dem,white,1,11250.0
good,63,male,12,heterosexual or straight,dem,white,1,18750.0
excellent,67,female,18,heterosexual or straight,other,white,1,
fair,83,male,12,heterosexual or straight,dem,white,1,
excellent,54,male,16,heterosexual or straight,dem,white,1,18750.0
poor,64,male,11,heterosexual or straight,rep,white,1,
fair,42,male,11,heterosexual or straight,rep,white,1,18750.0
fair,45,female,15,heterosexual or straight,rep,white,1,13750.0
good,40,male,14,heterosexual or straight,rep,white,1,18750.0
good,50,male,12,heterosexual or straight,dem,white,1,
fair,77,female,13,heterosexual or straight,dem,white,1,18750.0
good,41,female,16,heterosexual or straight,dem,white,1,18750.0
poor,88,male,13,heterosexual or straight,dem,white,1,
excellent,33,female,12,heterosexual or straight,rep,white,1,18750.0
good,33,male,12,heterosexual or straight,dem,black,0,
fair,36,female,12,heterosexual or straight,other,white,1,13750.0
excellent,57,female,16,heterosexual or straight,dem,white,1,18750.0
good,23,female,12,heterosexual or straight,other,white,0,
good,33,female,12,heterosexual or straight,dem,white,1,18750.0
poor,43,female,12,heterosexual or straight,dem,white,1,
fair,42,male,9,heterosexual or straight,dem,white,1,13750.0
fair,64,female,13,heterosexual or straight,dem,black,1,
good,57,male,12,heterosexual or straight,rep,white,1,
excellent,56,male,19,heterosexual or straight,other,white,1,18750.0
fair,30,male,17,heterosexual or straight,rep,white,1,11250.0
fair,36,female,19,heterosexual or straight,dem,white,1,
good,32,female,20,heterosexual or straight,dem,white,0,18750.0
good,25,male,16,heterosexual or straight,dem,white,0,
good,74,female,16,heterosexual or straight,other,white,1,
good,74,female,16,heterosexual or straight,dem,white,1,
good,24,male,17,heterosexual or straight,rep,white,0,6500.0
good,20,female,14,heterosexual or straight,rep,white,0,5500.0
excellent,31,male,12,heterosexual or straight,other,white,1,
fair,44,female,14,heterosexual or straight,rep,white,1,18750.0
good,69,female,16,heterosexual or straight,dem,white,1,
excellent,43,female,18,heterosexual or straight,dem,white,1,3500.0
excellent,39,male,12,bisexual,dem,white,1,18750.0
good,21,female,14,heterosexual or straight,rep,white,0,
good,54,female,16,heterosexual or straight,rep,white,1,11250.0
good,33,female,16,heterosexual or straight,dem,white,1,18750.0
good,60,female,12,heterosexual or straight,dem,white,1,13750.0
excellent,29,female,16,heterosexual or straight,dem,white,1,18750.0
fair,72,female,14,heterosexual or straight,dem,white,1,5500.0
good,20,female,9,heterosexual or straight,dem,white,0,
excellent,80,male,19,heterosexual or straight,rep,white,1,
fair,56,female,18,heterosexual or straight,rep,white,1,18750.0
good,44,female,17,heterosexual or straight,rep,white,1,13750.0
poor,49,female,10,heterosexual or straight,rep,white,1,
fair,37,female,16,heterosexual or straight,dem,other,1,
fair,67,female,13,heterosexual or straight,rep,white,1,
fair,58,female,12,heterosexual or straight,rep,white,1,
good,53,male,12,bisexual,rep,white,1,18750.0
good,39,male,15,heterosexual or straight,other,white,1,16250.0
good,54,female,16,heterosexual or straight,dem,white,1,18750.0
excellent,31,female,14,bisexual,dem,white,0,13750.0
fair,73,male,13,heterosexual or straight,rep,white,1,
good,67,male,12,heterosexual or straight,rep,white,1,11250.0
good,47,female,18,heterosexual or straight,dem,other,1,18750.0
excellent,78,male,12,heterosexual or straight,rep,white,1,
fair,88,female,11,heterosexual or straight,other,white,1,
poor,79,male,10,heterosexual or straight,dem,white,1,
good,41,female,12,heterosexual or straight,rep,white,0,18750.0
excellent,64,male,12,heterosexual or straight,other,white,1,18750.0
fair,61,male,12,heterosexual or straight,dem,white,1,18750.0
excellent,19,male,11,heterosexual or straight,rep,white,0,2000.0
excellent,39,female,18,heterosexual or straight,rep,white,1,18750.0
good,41,female,13,heterosexual or straight,rep,white,1,18750.0
good,44,male,16,heterosexual or straight,rep,white,1,18750.0
excellent,57,male,16,heterosexual or straight,rep,white,1,18750.0
good,46,female,13,heterosexual or straight,rep,white,1,18750.0
fair,41,female,14,heterosexual or straight,rep,white,1,18750.0
good,42,male,12,heterosexual or straight,rep,other,1,18750.0
good,56,female,16,heterosexual or straight,dem,white,0,18750.0
good,39,female,16,heterosexual or straight,other,white,1,2000.0
good,50,female,18,heterosexual or straight,other,white,1,18750.0
good,80,female,12,heterosexual or straight,rep,white,1,
excellent,51,female,12,heterosexual or straight,other,white,1,500.0
excellent,39,male,14,heterosexual or straight,rep,white,1,18750.0
good,84,female,12,heterosexual or straight,rep,white,1,
good,43,male,12,heterosexual or straight,other,black,1,18750.0
