residents,bed,bath,x,y
3,4,3,7201.6,6752.56
2,2,1,7079.68,6622.32
4,2,1,7154.4,6683.28
2,1,2,7093.44,6680.56
1,2,2,7198.72,6674.96
0,2,1,7101.76,6655.6
3,2,1,7157.28,6652.72
,3,5,7088,6749.84
3,2,1,7160,6525.36
1,1,1,7201.6,6627.76
1,1,1,7035.36,6638.96
1,1,1,7162.72,6724.88
2,1,1,7129.44,6625.04
3,2,1,7259.84,6633.36
2,1,1,7193.28,6572.4
1,3,1,7279.2,6683.28
1,1,1,7196,6705.36
2,1,1,7063.04,6708.24
0,2,1,7148.96,6669.36
2,2,2,7110.08,6641.68
2,1,1,7165.6,6572.4
2,3,6,7268,6578
0,1,1,7218.24,6741.52
,3,1,7168.32,6650
3,2,5,7046.4,6608.4
1,2,5,7085.12,6630.64
5,4,2,7110.08,6655.6
1,1,1,7129.44,6697.04
2,2,1,7182.24,6614
,3,1,7135.04,6705.36
,2,2,7281.92,6611.28
2,3,2,7162.72,6519.76
1,1,2,7173.92,6591.76
4,3,3,7135.04,6530.8
3,2,2,7251.52,6702.64
1,1,2,7104.64,6558.48
2,3,4,7259.84,6578
2,2,4,7268,6702.64
,5,4,7146.08,6763.6
3,2,1,7215.36,6708.24
1,1,1,7115.68,6683.28
1,1,1,7184.96,6716.56
2,2,2,7254.24,6575.12
,2,2,7140.64,6522.48
,3,2,7245.92,6561.36
1,1,1,7076.8,6652.72
,2,1,7256.96,6605.68
3,2,2,7096.32,6536.4
2,2,2,7112.96,6627.76
2,4,3,7251.52,6719.28
1,1,2,7265.28,6652.72
0,1,1,7240.32,6666.64
0,2,2,7215.36,6705.36
1,1,1,7232,6616.72
1,2,1,7038.08,6647.28
,1,2,7151.68,6774.64
2,2,1,7027.04,6652.72
1,1,1,7060.16,6630.64
,2,3,7254.24,6713.68
,2,1,7179.36,6533.68
1,2,2,7262.56,6580.72
2,1,2,7032.48,6619.44
,3,3,7265.28,6627.76
,4,5,7259.84,6566.8
4,3,2,7234.88,6677.68
6,5,4,7085.12,6586.32
4,3,2,7190.56,6583.44
0,1,2,7232,6708.24
1,2,1,7118.4,6677.68
1,1,2,7057.44,6710.96
1,2,1,7284.64,6641.68
1,1,1,7118.4,6575.12
,2,2,7173.92,6605.68
,1,3,7132.32,6547.44
,1,1,7107.36,6744.24
,4,3,7079.68,6713.68
3,3,2,7115.68,6536.4
3,3,2,7234.88,6735.92
1,1,1,7079.68,6589.04
1,1,1,7168.32,6561.36
,2,1,7168.32,6547.44
1,2,2,7215.36,6674.96
,2,3,7032.48,6647.28
3,2,2,7287.52,6683.28
4,3,2,7196,6597.36
4,2,2,7276.32,6694.32
3,2,1,7273.6,6633.36
,2,3,7276.32,6578
1,1,1,7237.6,6733.2
3,4,1,7112.96,6616.72
2,3,3,7284.64,6650
2,2,2,7110.08,6616.72
2,2,2,7137.76,6638.96
,1,1,7082.4,6674.96
,5,4,7063.04,6697.04
1,1,1,7074.08,6622.32
3,4,3,7140.64,6672.24
,2,2,7107.36,6733.2
2,3,2,7063.04,6691.6
,2,2,7251.52,6735.92
3,3,1,7090.72,6611.28
2,3,2,7201.6,6746.96
2,2,4,7085.12,6733.2
5,5,1,7029.76,6619.44
3,3,3,7090.72,6583.44
5,3,2,7248.64,6735.92
,1,1,7243.2,6702.64
2,3,2,7140.64,6663.92
,1,2,7126.72,6672.24
1,2,1,7162.72,6650
1,1,4,7085.12,6710.96
,1,1,7085.12,6683.28
2,2,3,7248.64,6699.92
,3,3,7259.84,6572.4
3,2,2,7135.04,6669.36
,3,1,7112.96,6550.16
1,2,2,7182.24,6627.76
,4,2,7126.72,6564.08
1,2,3,7290.24,6677.68
1,1,1,7171.04,6575.12
2,3,2,7046.4,6630.64
5,5,7,7082.4,6539.12
,4,5,7248.64,6553.04
,3,5,7154.4,6539.12
2,2,2,7173.92,6630.64
2,1,1,7093.44,6650
1,1,2,7093.44,6566.8
0,2,2,7187.68,6555.76
6,4,3,7107.36,6561.36
1,1,1,7193.28,6702.64
3,2,1,7281.92,6677.68
2,1,2,7101.76,6530.8
2,2,1,7085.12,6614
3,3,2,7135.04,6630.64
5,4,2,7209.92,6694.32
2,2,3,7129.44,6710.96
,2,2,7121.28,6710.96
2,2,2,7248.64,6663.92
3,4,1,7135.04,6636.08
,4,2,7132.32,6749.84
,2,1,7265.28,6625.04
4,4,3,7085.12,6558.48
1,1,2,7160,6608.4
,2,2,7207.04,6600.08
,4,2,7035.36,6680.56
4,5,6,7068.48,6564.08
,2,5,7237.6,6564.08
3,2,2,7265.28,6672.24
,5,6,7143.36,6553.04
,1,1,7165.6,6539.12
1,2,5,7193.28,6758
,5,3,7171.04,6536.4
,3,2,7223.68,6586.32
3,5,7,7074.08,6553.04
,1,1,7160,6755.28
3,5,2,7099.04,6611.28
2,2,2,7126.72,6746.96
,1,1,7079.68,6686
1,1,2,7126.72,6699.92
,2,5,7265.28,6578
,1,1,7063.04,6694.32
,3,1,7229.28,6586.32
1,1,1,7146.08,6688.72
1,4,2,7207.04,6677.68
3,3,2,7148.96,6777.52
,1,1,7124,6780.24
3,4,3,7151.68,6630.64
3,4,2,7121.28,6600.08
0,1,2,7165.6,6688.72
,3,2,7234.88,6580.72
2,1,2,7101.76,6694.32
,1,1,7121.28,6724.88
3,7,9,7071.36,6553.04
1,1,2,7226.56,6744.24
1,2,1,7126.72,6517.04
2,2,2,7124,6619.44
4,3,1,7121.28,6683.28
2,2,5,7090.72,6561.36
5,4,2,7049.12,6699.92
5,3,2,7165.6,6777.52
1,1,1,7157.28,6589.04
2,2,1,7179.36,6569.68
,3,1,7220.96,6558.48
,4,2,7118.4,6708.24
3,2,1,7143.36,6578
2,2,3,7146.08,6713.68
2,2,2,7218.24,6564.08
1,1,2,7124,6614
0,2,2,7198.72,6766.32
2,2,1,7187.68,6627.76
1,1,1,7046.4,6638.96
0,2,1,7204.32,6663.92
2,2,1,7292.96,6636.08
2,1,2,7082.4,6650
,2,2,7085.12,6758
,4,2,7135.04,6683.28
2,1,5,7096.32,6749.84
3,3,1,7140.64,6650
1,2,1,7079.68,6650
2,2,2,7256.96,6658.32
4,3,1,7107.36,6619.44
2,1,2,7184.96,6741.52
,1,2,7088,6741.52
2,3,4,7074.08,6744.24
2,4,2,7157.28,6677.68
,1,2,7162.72,6600.08
1,1,3,7107.36,6666.64
4,2,2,7090.72,6677.68
,1,1,7140.64,6758
1,1,2,7265.28,6569.68
1,1,2,7212.64,6708.24
4,5,3,7110.08,6614
2,3,2,7212.64,6744.24
1,2,4,7276.32,6619.44
4,4,1,7254.24,6561.36
1,1,2,7057.44,6608.4
2,1,1,7088,6539.12
,2,2,7104.64,6722
,2,1,7226.56,6755.28
,4,3,7060.16,6719.28
2,2,3,7118.4,6702.64
,1,1,7160,6716.56
,2,2,7162.72,6561.36
3,2,1,7284.64,6691.6
3,2,1,7140.64,6630.64
1,1,1,7110.08,6622.32
2,2,2,7165.6,6722
,1,1,7043.68,6688.72
2,2,1,7226.56,6636.08
2,2,2,7270.88,6666.64
7,6,5,7071.36,6572.4
,6,1,7198.72,6769.2
3,3,1,7076.8,6561.36
,3,3,7107.36,6724.88
1,1,1,7107.36,6614
3,4,2,7099.04,6730.32
,2,3,7226.56,6566.8
2,1,2,7126.72,6652.72
5,4,1,7184.96,6647.28
,2,2,7112.96,6769.2
5,4,4,7099.04,6708.24
3,2,1,7093.44,6710.96
3,2,1,7212.64,6636.08
,2,1,7201.6,6730.32
,2,3,7052,6625.04
1,1,1,7129.44,6597.36
3,2,2,7140.64,6669.36
2,2,1,7115.68,6594.64
2,2,1,7049.12,6688.72
2,3,3,7038.08,6650
,1,2,7243.2,6616.72
2,3,1,7201.6,6727.6
,4,1,7140.64,6738.64
4,3,4,7171.04,6641.68
1,1,1,7110.08,6608.4
4,3,1,7093.44,6697.04
,4,2,7201.6,6519.76
0,3,3,7076.8,6627.76
,2,1,7212.64,6663.92
,1,2,7032.48,6688.72
,4,2,7187.68,6774.64
4,2,2,7129.44,6561.36
2,1,2,7085.12,6578
,2,3,7052,6727.6
,4,3,7063.04,6746.96
,3,4,7121.28,6758
2,1,2,7132.32,6539.12
1,1,4,7088,6569.68
,2,1,7082.4,6630.64
2,2,2,7256.96,6733.2
1,1,1,7190.56,6652.72
3,3,1,7268,6658.32
,5,4,7049.12,6608.4
2,2,1,7168.32,6528.08
4,4,3,7040.8,6652.72
2,3,3,7256.96,6746.96
3,2,3,7223.68,6580.72
,1,1,7176.64,6744.24
,4,1,7151.68,6771.92
2,3,3,7096.32,6605.68
0,3,2,7218.24,6650
,1,1,7146.08,6555.76
,3,1,7154.4,6517.04
,3,3,7121.28,6561.36
3,2,2,7154.4,6605.68
2,3,3,7101.76,6602.96
1,1,1,7168.32,6553.04
,4,2,7135.04,6758
2,2,2,7129.44,6605.68
,2,2,7151.68,6738.64
2,2,1,7218.24,6636.08
1,1,1,7118.4,6530.8
2,1,2,7176.64,6677.68
,2,3,7057.44,6705.36
2,2,2,7248.64,6572.4
1,2,4,7071.36,6583.44
0,2,2,7245.92,6674.96
2,3,2,7046.4,6666.64
,3,3,7132.32,6619.44
,3,6,7268,6580.72
,2,3,7220.96,6591.76
2,2,2,7126.72,6769.2
,4,3,7273.6,6697.04
2,2,1,7107.36,6677.68
2,3,2,7146.08,6578
,2,1,7154.4,6680.56
3,2,2,7132.32,6669.36
4,4,1,7110.08,6686
1,1,1,7154.4,6666.64
0,4,2,7190.56,6744.24
1,1,2,7118.4,6600.08
3,2,2,7110.08,6672.24
3,4,3,7096.32,6752.56
2,2,2,7104.64,6763.6
,1,1,7035.36,6644.4
1,1,2,7140.64,6661.04
3,2,1,7121.28,6544.72
2,1,2,7223.68,6677.68
,3,2,7065.76,6658.32
1,1,1,7209.92,6683.28
2,3,3,7074.08,6655.6
1,1,1,7179.36,6702.64
1,1,2,7099.04,6597.36
3,2,3,7063.04,6738.64
1,1,1,7140.64,6763.6
2,2,4,7268,6661.04
2,1,1,7187.68,6575.12
,5,3,7251.52,6730.32
,3,2,7287.52,6633.36
,2,1,7198.72,6763.6
2,1,1,7146.08,6569.68
2,3,2,7270.88,6602.96
,3,1,7115.68,6738.64
2,2,2,7115.68,6766.32
,2,1,7179.36,6683.28
1,1,1,7132.32,6674.96
1,1,1,7057.44,6647.28
2,1,1,7146.08,6530.8
3,3,2,7151.68,6650
0,2,3,7196,6650
2,2,3,7104.64,6561.36
3,3,5,7063.04,6578
,2,2,7079.68,6558.48
1,1,1,7248.64,6702.64
1,1,1,7173.92,6752.56
,2,2,7101.76,6658.32
,2,2,7090.72,6694.32
3,3,4,7101.76,6638.96
,1,3,7090.72,6749.84
2,2,1,7226.56,6738.64
3,3,2,7118.4,6650
3,2,1,7212.64,6680.56
,1,1,7137.76,6741.52
5,4,4,7085.12,6669.36
3,3,2,7157.28,6558.48
3,4,2,7184.96,6586.32
2,2,1,7126.72,6636.08
,1,2,7232,6600.08
3,2,2,7096.32,6572.4
3,2,2,7121.28,6519.76
1,1,1,7196,6674.96
1,1,2,7201.6,6539.12
3,2,2,7057.44,6605.68
2,2,2,7118.4,6777.52
,1,6,7273.6,6611.28
2,3,1,7168.32,6641.68
,2,1,7179.36,6572.4
2,3,1,7110.08,6652.72
2,1,2,7226.56,6763.6
,5,1,7165.6,6735.92
,3,2,7043.68,6608.4
,4,1,7099.04,6738.64
,3,2,7245.92,6622.32
2,2,3,7168.32,6763.6
3,3,1,7173.92,6641.68
2,1,1,7232,6605.68
,4,2,7135.04,6771.92
,3,1,7126.72,6777.52
,2,2,7184.96,6514.16
1,2,6,7054.72,6594.64
,2,5,7085.12,6555.76
3,2,2,7029.76,6627.76
1,2,1,7207.04,6583.44
2,1,1,7148.96,6752.56
3,3,1,7165.6,6522.48
,2,2,7168.32,6536.4
,1,3,7190.56,6622.32
4,3,1,7168.32,6710.96
1,2,2,7256.96,6652.72
,3,1,7265.28,6619.44
3,3,1,7204.32,6741.52
,2,1,7209.92,6533.68
2,2,1,7049.12,6672.24
,1,1,7110.08,6760.88
,2,3,7220.96,6569.68
,2,2,7223.68,6589.04
,1,1,7173.92,6691.6
3,4,2,7079.68,6569.68
1,1,1,7118.4,6658.32
2,3,2,7201.6,6688.72
2,2,3,7168.32,6564.08
3,3,1,7157.28,6636.08
4,4,2,7265.28,6633.36
2,2,2,7215.36,6699.92
2,3,1,7118.4,6741.52
4,4,2,7281.92,6697.04
,3,2,7126.72,6694.32
3,3,2,7284.64,6708.24
2,2,2,7165.6,6608.4
2,2,1,7040.8,6705.36
1,1,1,7234.88,6658.32
0,2,2,7154.4,6713.68
2,2,3,7187.68,6619.44
,5,1,7162.72,6514.16
,1,1,7157.28,6746.96
4,3,3,7151.68,6608.4
,4,6,7082.4,6738.64
3,2,2,7107.36,6528.08
,2,2,7029.76,6652.72
1,1,1,7226.56,6769.2
2,4,3,7179.36,6589.04
2,3,1,7287.52,6699.92
1,1,1,7240.32,6641.68
3,3,1,7099.04,6636.08
0,2,2,7104.64,6686
,4,5,7184.96,6572.4
2,2,2,7090.72,6602.96
,2,1,7126.72,6760.88
,6,4,7256.96,6594.64
,3,2,7096.32,6638.96
1,1,1,7065.76,6611.28
4,3,4,7248.64,6605.68
,2,1,7193.28,6522.48
,2,2,7279.2,6622.32
2,1,1,7129.44,6611.28
2,2,1,7204.32,6638.96
,1,3,7032.48,6686
1,1,2,7154.4,6614
,3,2,7290.24,6614
,4,2,7176.64,6713.68
2,2,4,7226.56,6569.68
3,2,2,7107.36,6708.24
2,3,2,7173.92,6674.96
,1,1,7151.68,6780.24
2,2,3,7220.96,6666.64
1,1,2,7165.6,6614
2,1,1,7187.68,6597.36
,2,3,7240.32,6625.04
,1,1,7107.36,6730.32
4,3,2,7190.56,6542
,2,2,7101.76,6738.64
,5,3,7154.4,6782.96
5,4,1,7135.04,6702.64
3,2,2,7129.44,6555.76
,1,1,7248.64,6569.68
4,3,1,7096.32,6669.36
2,2,1,7226.56,6575.12
2,2,1,7179.36,6719.28
2,2,1,7270.88,6705.36
3,2,1,7096.32,6713.68
3,3,4,7057.44,6627.76
6,4,2,7179.36,6724.88
,3,1,7284.64,6630.64
2,3,1,7268,6719.28
3,2,4,7237.6,6572.4
1,1,2,7115.68,6630.64
3,3,3,7160,6633.36
3,4,2,7254.24,6600.08
3,3,5,7276.32,6719.28
,5,4,7088,6758
,1,3,7054.72,6699.92
,2,2,7160,6519.76
2,2,2,7110.08,6594.64
2,2,2,7196,6691.6
,3,4,7099.04,6669.36
2,2,1,7140.64,6544.72
4,4,7,7259.84,6738.64
,1,3,7093.44,6744.24
,2,1,7212.64,6650
5,5,3,7099.04,6528.08
1,1,1,7168.32,6544.72
3,2,2,7165.6,6633.36
3,2,1,7121.28,6630.64
2,2,2,7124,6605.68
2,2,3,7279.2,6608.4
1,1,2,7151.68,6566.8
1,2,1,7079.68,6710.96
3,2,2,7184.96,6674.96
1,1,1,7137.76,6705.36
2,2,1,7187.68,6583.44
1,1,1,7121.28,6611.28
4,4,3,7093.44,6619.44
2,2,1,7090.72,6661.04
,2,1,7137.76,6561.36
,5,2,7096.32,6528.08
,2,3,7107.36,6746.96
,3,1,7284.64,6663.92
4,4,3,7187.68,6517.04
3,2,2,7154.4,6769.2
,1,2,7176.64,6699.92
4,4,4,7248.64,6555.76
,1,1,7223.68,6608.4
4,3,1,7237.6,6650
2,2,2,7215.36,6746.96
4,4,1,7220.96,6638.96
1,1,2,7287.52,6680.56
1,2,2,7154.4,6525.36
,9,4,7262.56,6566.8
4,3,1,7071.36,6586.32
1,1,3,7068.48,6586.32
4,3,2,7151.68,6655.6
1,1,2,7110.08,6630.64
3,2,1,7148.96,6691.6
,3,2,7232,6575.12
2,1,1,7168.32,6583.44
,5,5,7279.2,6586.32
,4,5,7052,6697.04
2,2,3,7187.68,6528.08
,1,3,7074.08,6738.64
1,1,1,7124,6705.36
2,1,5,7254.24,6578
,2,2,7118.4,6661.04
1,1,2,7043.68,6644.4
1,2,5,7273.6,6719.28
2,1,2,7118.4,6746.96
,1,1,7063.04,6683.28
4,3,3,7248.64,6716.56
3,2,1,7218.24,6591.76
,3,3,7063.04,6619.44
,3,4,7265.28,6674.96
1,1,1,7065.76,6630.64
2,1,1,7143.36,6735.92
3,3,2,7243.2,6741.52
3,3,2,7182.24,6674.96
2,2,2,7179.36,6619.44
,1,1,7154.4,6522.48
3,2,2,7184.96,6519.76
2,3,3,7085.12,6622.32
2,1,1,7218.24,6710.96
2,3,2,7090.72,6633.36
0,2,2,7157.28,6566.8
,1,3,7190.56,6771.92
0,1,1,7218.24,6666.64
,1,3,7198.72,6536.4
5,3,1,7268,6680.56
1,1,3,7096.32,6630.64
1,2,1,7096.32,6655.6
4,4,3,7245.92,6683.28
3,2,1,7115.68,6597.36
2,1,3,7135.04,6741.52
3,2,1,7196,6638.96
,2,3,7121.28,6539.12
,3,3,7046.4,6602.96
2,2,2,7182.24,6735.92
,3,1,7273.6,6614
,2,1,7126.72,6727.6
6,5,4,7284.64,6644.4
,4,2,7112.96,6766.32
,1,2,7151.68,6760.88
2,2,2,7204.32,6572.4
0,4,3,7196,6710.96
1,1,4,7049.12,6619.44
,2,3,7268,6564.08
1,2,2,7243.2,6716.56
,2,1,7182.24,6766.32
1,1,1,7110.08,6658.32
3,2,2,7220.96,6619.44
2,3,2,7215.36,6719.28
2,2,1,7126.72,6674.96
0,1,2,7234.88,6713.68
0,1,1,7190.56,6688.72
3,3,4,7207.04,6589.04
,6,5,7240.32,6578
,2,2,7176.64,6519.76
,4,3,7234.88,6619.44
,1,2,7124,6558.48
,2,3,7088,6688.72
2,2,2,7234.88,6655.6
,3,3,7143.36,6522.48
,1,1,7193.28,6597.36
,3,2,7209.92,6769.2
,1,1,7160,6738.64
4,3,3,7112.96,6722
4,3,2,7076.8,6677.68
,3,1,7273.6,6638.96
,2,2,7215.36,6724.88
3,2,1,7096.32,6622.32
4,4,2,7212.64,6777.52
,3,2,7254.24,6555.76
0,3,2,7193.28,6614
2,1,1,7176.64,6669.36
2,1,1,7193.28,6749.84
1,1,1,7256.96,6666.64
2,4,4,7248.64,6708.24
3,3,1,7196,6741.52
2,1,2,7060.16,6680.56
,3,3,7110.08,6536.4
4,3,2,7143.36,6525.36
2,1,1,7074.08,6669.36
,1,2,7265.28,6644.4
1,1,1,7165.6,6669.36
2,3,4,7068.48,6575.12
2,2,1,7140.64,6636.08
3,2,3,7198.72,6627.76
3,2,2,7082.4,6589.04
3,3,2,7262.56,6594.64
1,2,1,7232,6688.72
,4,4,7115.68,6758
,2,2,7112.96,6652.72
1,1,1,7057.44,6611.28
1,1,2,7234.88,6644.4
,2,3,7093.44,6575.12
,2,2,7157.28,6519.76
,3,4,7193.28,6530.8
3,2,3,7146.08,6705.36
2,2,1,7168.32,6555.76
1,3,4,7226.56,6644.4
3,2,2,7165.6,6741.52
1,1,1,7176.64,6611.28
,2,3,7121.28,6752.56
3,4,7,7262.56,6677.68
4,3,1,7290.24,6669.36
1,2,1,7220.96,6550.16
,4,1,7251.52,6575.12
,2,2,7171.04,6611.28
2,2,2,7068.48,6619.44
,3,2,7035.36,6661.04
,5,5,7234.88,6547.44
,2,1,7162.72,6663.92
,2,1,7168.32,6661.04
1,2,4,7110.08,6777.52
,1,2,7124,6547.44
,2,1,7290.24,6638.96
2,1,2,7137.76,6760.88
3,3,2,7165.6,6727.6
,2,1,7110.08,6763.6
,1,3,7162.72,6553.04
1,1,2,7049.12,6636.08
4,4,2,7110.08,6597.36
0,3,3,7088,6633.36
,2,3,7090.72,6741.52
3,3,2,7173.92,6688.72
3,2,2,7104.64,6636.08
,2,2,7096.32,6600.08
1,1,1,7079.68,6688.72
,3,1,7140.64,6760.88
,3,5,7270.88,6586.32
2,3,1,7137.76,6699.92
,1,1,7193.28,6752.56
2,1,2,7157.28,6724.88
1,2,1,7049.12,6655.6
5,5,5,7168.32,6655.6
4,3,3,7281.92,6650
2,2,1,7256.96,6694.32
,1,1,7160,6705.36
2,2,2,7193.28,6638.96
2,1,1,7157.28,6625.04
1,1,1,7074.08,6602.96
,4,1,7071.36,6733.2
0,5,3,7063.04,6705.36
2,1,1,7043.68,6677.68
3,2,1,7254.24,6636.08
,1,3,7196,6528.08
2,2,1,7093.44,6755.28
3,3,3,7143.36,6583.44
4,3,3,7088,6652.72
,7,5,7251.52,6553.04
1,1,1,7143.36,6550.16
1,1,4,7110.08,6688.72
,3,3,7229.28,6536.4
3,4,2,7229.28,6730.32
3,2,1,7143.36,6733.2
,3,3,7076.8,6564.08
1,1,1,7115.68,6611.28
3,3,2,7207.04,6633.36
4,3,3,7179.36,6655.6
,4,3,7049.12,6702.64
3,3,6,7104.64,6528.08
3,3,1,7148.96,6697.04
3,2,1,7140.64,6705.36
2,2,2,7245.92,6666.64
,2,2,7065.76,6688.72
4,3,2,7171.04,6727.6
3,4,4,7281.92,6694.32
1,1,1,7168.32,6569.68
,3,2,7182.24,6777.52
,2,1,7209.92,6636.08
2,2,1,7232,6627.76
3,2,1,7190.56,6544.72
,1,2,7090.72,6733.2
,3,1,7124,6733.2
2,1,1,7281.92,6663.92
3,4,4,7273.6,6586.32
7,7,7,7027.04,6663.92
2,2,1,7024.16,6647.28
2,3,5,7054.72,6583.44
1,1,1,7079.68,6638.96
0,1,1,7196,6677.68
,6,4,7052,6735.92
2,4,1,7038.08,6616.72
0,3,2,7079.68,6702.64
6,6,3,7118.4,6744.24
,1,1,7112.96,6705.36
4,5,7,7049.12,6575.12
,4,5,7082.4,6752.56
,3,2,7126.72,6716.56
4,4,2,7218.24,6722
4,2,2,7046.4,6655.6
1,1,1,7220.96,6680.56
3,2,1,7079.68,6666.64
5,4,2,7079.68,6705.36
1,1,1,7121.28,6591.76
1,1,2,7074.08,6663.92
,3,2,7071.36,6680.56
1,1,1,7160,6683.28
2,2,2,7165.6,6517.04
2,1,2,7179.36,6555.76
1,1,2,7126.72,6561.36
,2,3,7179.36,6782.96
,2,2,7137.76,6733.2
,2,1,7096.32,6597.36
2,2,3,7220.96,6627.76
3,3,1,7182.24,6522.48
0,2,1,7074.08,6589.04
,3,2,7068.48,6688.72
3,2,1,7187.68,6638.96
5,5,5,7101.76,6555.76
,1,1,7226.56,6666.64
,1,1,7196,6517.04
4,4,4,7032.48,6602.96
1,1,1,7157.28,6705.36
4,3,1,7052,6630.64
2,1,1,7029.76,6655.6
3,2,1,7146.08,6752.56
,3,2,7110.08,6691.6
,4,2,7137.76,6655.6
,2,1,7129.44,6658.32
2,2,3,7060.16,6572.4
,1,3,7184.96,6702.64
3,2,1,7148.96,6733.2
3,3,2,7234.88,6710.96
,3,2,7146.08,6724.88
,2,2,7121.28,6569.68
2,1,1,7184.96,6705.36
2,1,1,7198.72,6730.32
2,2,1,7248.64,6597.36
3,2,2,7232,6741.52
,2,2,7218.24,6627.76
,2,3,7076.8,6683.28
2,4,2,7040.8,6605.68
,1,1,7065.76,6652.72
,2,2,7243.2,6730.32
2,2,3,7273.6,6699.92
2,1,2,7270.88,6608.4
1,1,1,7027.04,6666.64
3,3,2,7052,6644.4
,2,1,7074.08,6683.28
1,2,3,7201.6,6616.72
,2,1,7046.4,6697.04
4,6,3,7068.48,6589.04
2,1,2,7076.8,6619.44
3,2,2,7143.36,6600.08
3,3,3,7151.68,6658.32
,1,1,7226.56,6589.04
1,1,1,7204.32,6630.64
1,1,2,7284.64,6694.32
1,1,1,7151.68,6542
1,1,2,7146.08,6616.72
,4,2,7096.32,6760.88
2,4,4,7068.48,6722
1,1,2,7115.68,6650
1,2,4,7259.84,6605.68
,1,3,7234.88,6746.96
0,1,1,7226.56,6708.24
2,3,2,7184.96,6638.96
2,3,1,7168.32,6605.68
3,2,2,7187.68,6602.96
3,3,2,7110.08,6589.04
,2,2,7132.32,6561.36
1,1,2,7251.52,6697.04
2,3,3,7182.24,6686
,1,2,7049.12,6658.32
2,1,1,7137.76,6746.96
,2,2,7148.96,6708.24
1,1,1,7154.4,6542
,3,1,7160,6533.68
,3,3,7251.52,6550.16
2,1,2,7204.32,6699.92
2,2,2,7229.28,6769.2
4,3,1,7165.6,6744.24
,1,1,7262.56,6616.72
,2,2,7190.56,6655.6
1,1,3,7038.08,6589.04
,2,2,7173.92,6558.48
4,3,2,7295.84,6672.24
3,2,2,7259.84,6614
2,2,2,7071.36,6658.32
1,2,2,7198.72,6755.28
,3,2,7215.36,6716.56
,2,2,7132.32,6716.56
2,1,1,7151.68,6633.36
,1,2,7179.36,6680.56
3,3,1,7148.96,6547.44
,2,2,7107.36,6763.6
