AreaName,Cheese
Afghanistan,23.34
Africa,23.34
Albania,93.51
Algeria,11.88
Americas,145.67
Angola,3.76
Antigua and Barbuda,60.6
Argentina,222.13
Armenia,55.78
Asia,10.76
Australia,217.26
Australia & New Zealand,202.25
Austria,408.13
Azerbaijan,103.12
Bahamas,121.53
Bangladesh,0.23
Barbados,151.62
Belarus,77.09
Belgium,238.59
Belgium-Luxembourg,138.96
Belize,73.92
Benin,0.6
Bermuda,151.59
Bolivia (Plurinational State of),20.6
Bosnia and Herzegovina,75.88
Botswana,55.38
Brazil,8.02
Brunei Darussalam,17.74
Bulgaria,196.95
Burkina Faso,0.25
Cabo Verde,13.49
Cambodia,0.08
Cameroon,0.43
Canada,257.33
Caribbean,27.23
Central African Republic,0.25
Central America,42.95
Central Asia,17.83
Chad,0.09
Chile,78.61
China,4.26
"China, Hong Kong SAR",27.92
"China, Macao SAR",15.02
"China, Taiwan Province of",10.47
"China, mainland",4.06
Colombia,30.49
Congo,1.51
Costa Rica,45.96
Croatia,127.83
Cuba,34.54
Cyprus,124.66
Czech Republic,257.57
Czechoslovakia,33.96
C̫te d'Ivoire,0.77
Democratic People's Republic of Korea,
Denmark,399.32
Djibouti,6.21
Dominica,67.39
Dominican Republic,14.61
Eastern Africa,1.71
Eastern Asia,12.21
Eastern Europe,136.24
Ecuador,70.37
Egypt,154.59
El Salvador,49.68
Estonia,185.63
Ethiopia,1.41
Ethiopia PDR,0.18
Europe,260.74
European Union,332.52
Fiji,8.69
Finland,327.67
France,510.65
French Polynesia,116.61
Gabon,9.68
Gambia,2.09
Georgia,2.03
Germany,414.51
Ghana,0.22
Greece,566.74
Grenada,97.3
Guatemala,29.33
Guinea,0.38
Guinea-Bissau,0.41
Guyana,26.81
Haiti,1.92
Honduras,43.38
Hungary,197.17
Iceland,400.28
India,0.03
Indonesia,0.82
Iran (Islamic Republic of),81.78
Iraq,26.64
Ireland,204.17
Israel,381.35
Italy,463.94
Jamaica,32.18
Japan,51.34
Jordan,56.72
Kazakhstan,27.74
Kenya,0.26
Kiribati,1.12
Kuwait,118.2
Kyrgyzstan,6.37
Land Locked Developing Countries,15.49
Lao People's Democratic Republic,0.03
Latvia,129.51
Least Developed Countries,10.8
Lebanon,212.91
Lesotho,3.65
Liberia,0.68
Lithuania,172.46
Low Income Food Deficit Countries,4.8
Luxembourg,140.53
Madagascar,0.37
Malawi,0.11
Malaysia,4.62
Maldives,1.06
Mali,0.24
Malta,260.54
Mauritania,20.09
Mauritius,44.18
Melanesia,20.53
Mexico,41.95
Micronesia,1.12
Middle Africa,1.89
Mongolia,14.07
Montenegro,97.63
Morocco,15.48
Mozambique,0.57
Myanmar,20.86
Namibia,20.41
Nepal,0.03
Net Food Importing Developing Countries,21.96
Netherlands,404.31
Netherlands Antilles,259.9
New Caledonia,118.93
New Zealand,126.91
Nicaragua,45.83
Niger,80.17
Nigeria,1.45
Northern Africa,87.89
Northern America,310.47
Northern Europe,250.42
Norway,326.7
Oceania,187.91
Oman,70.48
Pakistan,0.07
Panama,89.71
Paraguay,3.1
Peru,11.75
Philippines,4.02
Poland,252.87
Polynesia,69.07
Portugal,179.58
Republic of Korea,12.99
Republic of Moldova,33.47
Romania,68.98
Russian Federation,91.98
Rwanda,0.01
Saint Kitts and Nevis,87.25
Saint Lucia,115.11
Saint Vincent and the Grenadines,50.39
Samoa,4.58
Sao Tome and Principe,1.3
Saudi Arabia,48.59
Senegal,2.23
Serbia,12.48
Serbia and Montenegro,21.14
Sierra Leone,0.87
Slovakia,171.08
Slovenia,214.25
Small Island Developing States,25.39
Solomon Islands,0.97
South Africa,20.29
South America,48.01
South-Eastern Asia,3.35
Southern Africa,20.82
Southern Asia,4.11
Southern Europe,299.05
Spain,153.29
Sri Lanka,1.02
Sudan (former),86.67
Suriname,22.74
Swaziland,16.32
Sweden,382.95
Switzerland,379.03
Tajikistan,29.61
Thailand,1.77
The former Yugoslav Republic of Macedonia,62.07
Timor-Leste,0.24
Togo,0.46
Trinidad and Tobago,92.1
Tunisia,10.36
Turkey,47.05
Turkmenistan,11.29
USSR,13.02
Uganda,0.0
Ukraine,51.92
United Arab Emirates,110.99
United Kingdom,212.94
United Republic of Tanzania,3.13
United States of America,316.24
Uruguay,131.15
Uzbekistan,12.32
Vanuatu,5.39
Venezuela (Bolivarian Republic of),112.6
Viet Nam,0.45
Western Africa,5.11
Western Asia,78.34
Western Europe,440.67
World,62.29
Yemen,28.9
Yugoslav SFR,13.68
Zambia,2.43
Zimbabwe,5.71
